noisy_motion_x,noisy_motion_y,noisy_motion_theta,noisy_motion_cov_xx,noisy_motion_cov_xy,noisy_motion_cov_xtheta,noisy_motion_cov_yy,noisy_motion_cov_ytheta,noisy_motion_cov_thetatheta,kalman_prediction_x,kalman_prediction_y,kalman_prediction_theta,lidar_x,lidar_y,lidar_theta,lidar_cov_xx,lidar_cov_xy,lidar_cov_xtheta,lidar_cov_yy,lidar_cov_ytheta,lidar_cov_thetatheta,ground_truth_x,ground_truth_y,ground_truth_theta,alpha
5.895165031688521e-06,-2.5303406800958328e-05,-0.00019760245049837977,2.4079694835310583e-11,-1.0335560879370931e-10,-8.071371904172508e-10,4.4362610807091585e-10,3.4644191959642967e-09,2.7054765538991887e-08,-0.0008161620353348553,0.0040971958078444,0.03172125294804573,0.00043057605292185636,0.004802227772921146,0.03163249398422372,1.6092574242065893e-06,-1.2261313742101265e-08,0.0,5.600514327852579e-07,0.0,5.751706666501377e-08,-0.0008823342312583313,-0.0008823342312583313,0.03461444754646331,8
6.33567969998694e-06,-2.718380346777849e-05,-0.0002122906589647755,2.4110130558696596e-11,-1.03446688715092e-10,-8.078621105411798e-10,4.438473200085724e-10,3.4662051007217087e-09,2.7069168240245745e-08,-0.0008137188269756734,0.004086713306605816,0.03163938969373703,-0.003362360803448934,0.004794828675116048,0.03191570705402103,1.7610722125027678e-06,-1.4009128079806032e-08,0.0,5.646958243232802e-07,0.0,5.981677020372445e-08,-0.0008835617829736127,-0.0008835617829736127,0.03465557932310404,8
5.264009359962074e-06,-2.257707092212513e-05,-0.000176317582372576,2.4140606180722557e-11,-1.0353785190320153e-10,-8.085876967989236e-10,4.4406864296853144e-10,3.4679921157021454e-09,2.7083581599640638e-08,-0.0008145064930431545,0.0040900916792452335,0.03166577219963074,2.4599616687923098e-05,0.004432424156474766,0.03212958143766862,1.5292870330085861e-06,2.6778852912912043e-08,0.0,5.748125317950326e-07,0.0,6.244664518817444e-08,-0.0008847901102491743,-0.0008847901102491743,0.03469672204889424,8
-1.1021377588349424e-07,4.7252058266167296e-07,3.6902554256812437e-06,2.417111996666499e-11,-1.03629091419144e-10,-8.093139491904822e-10,4.4429010470636854e-10,3.4697802409056067e-09,2.7098005617176568e-08,-0.0008179662982001901,0.004104924853891134,0.03178161755204201,-0.0013502163187181712,0.004686289740946119,0.03201749391054815,1.4865113371342886e-06,3.6068632525143585e-09,0.0,5.715151019103359e-07,0.0,5.900691135707348e-08,-0.0008860192135585962,-0.0008860192135585962,0.03473787572794781,8
3.433457777646254e-06,-1.4714673852722626e-05,-0.00011491939221741632,2.4201670181800417e-11,-1.0372042114070723e-10,-8.100408677158555e-10,4.445116774665081e-10,3.4715694763320926e-09,2.7112436740139856e-08,-0.0008176242117770016,0.0041034589521586895,0.031770169734954834,-2.76416430709317e-05,0.004766168675794746,0.031999870853597005,1.4360737168317428e-06,1.644835201375372e-08,0.0,5.851436526427278e-07,0.0,6.226098747674769e-08,-0.0008872490933758562,-0.0008872490933758562,0.03477904036438519,8
-2.260082283100928e-06,9.682270501798484e-06,7.561835809610784e-05,2.4232258560852316e-11,-1.038118202512095e-10,-8.107684523750436e-10,4.4473338900452575e-10,3.473359821981603e-09,2.712687852124418e-08,-0.0008203961770050228,0.0041153342463076115,0.03186291456222534,-2.5856807836510676e-07,0.005529892610328499,0.031882802081763695,1.670678102527745e-06,4.2981309178458105e-08,0.0,5.734489150199806e-07,0.0,5.983228845707345e-08,-0.0008884797501753257,-0.0008884797501753257,0.034820215962330106,8
-1.0346250746806618e-05,4.430675835465081e-05,0.00034604084794409573,2.4262885103820686e-11,-1.0390330956733251e-10,-8.114967031680465e-10,4.4495523932042147e-10,3.4751512778541382e-09,2.71413291841327e-08,-0.0008292067213915288,0.004153063986450434,0.03215758875012398,5.416810499016961e-05,0.004512874114372074,0.03203583939493046,1.486860355726094e-06,-1.057910026247555e-08,0.0,5.802987743663834e-07,0.0,6.226365911743414e-08,-0.0008897111844316753,-0.0008897111844316753,0.03486140252590723,8
6.308425327006262e-06,-2.7004856747225858e-05,-0.00021091460075695068,2.4293549810705528e-11,-1.0399488215018238e-10,-8.122256200948641e-10,4.4517720065861965e-10,3.476943843949698e-09,2.715578872880542e-08,-0.0008246644865721464,0.004133619833737612,0.03200572729110718,-0.0002967388820277403,0.004865761122435875,0.032121583088986085,1.5251356444423436e-06,-8.890996383570382e-09,0.0,5.75240733269311e-07,0.0,5.731406815812079e-08,-0.0008909433966198923,-0.0008909433966198923,0.03490260005924354,8
2.7665498691931134e-06,-1.1838414138765074e-05,-9.246249101124704e-05,2.432425268150684e-11,-1.0408653106086518e-10,-8.129552031554965e-10,4.4539932853027153e-10,3.4787372982236775e-09,2.7170257155262334e-08,-0.0008228794322349131,0.004125981591641903,0.03194606676697731,-0.00020893798905510103,0.004881543526719044,0.03201319106543708,1.6077186728580273e-06,4.577160694907434e-08,0.0,5.964777187728032e-07,0.0,6.339185176784667e-08,-0.0008921763872154348,-0.0008921763872154348,0.034943808566472924,8
4.182087650406174e-06,-1.7888840375235304e-05,-0.00013972098531667143,2.4354993716224627e-11,-1.0417826323827484e-10,-8.136855078610949e-10,4.4562153966865026e-10,3.4805320847652865e-09,2.7184736239860285e-08,-0.0008242590120062232,0.004131882451474667,0.03199215605854988,-0.003943289042560284,0.00398574405423876,0.032382292862172306,1.6555701449760818e-06,-2.1237474001623013e-08,0.0,5.721537377212371e-07,0.0,5.7202068859396604e-08,-0.0008934101566941454,-0.0008934101566941454,0.034985028051733306,8
