noisy_motion_x,noisy_motion_y,noisy_motion_theta,noisy_motion_cov_xx,noisy_motion_cov_xy,noisy_motion_cov_xtheta,noisy_motion_cov_yy,noisy_motion_cov_ytheta,noisy_motion_cov_thetatheta,kalman_prediction_x,kalman_prediction_y,kalman_prediction_theta,lidar_x,lidar_y,lidar_theta,lidar_cov_xx,lidar_cov_xy,lidar_cov_xtheta,lidar_cov_yy,lidar_cov_ytheta,lidar_cov_thetatheta,ground_truth_x,ground_truth_y,ground_truth_theta,alpha
9.23151901588426e-07,-5.522993433260126e-06,-4.258689659764059e-05,8.454064705232245e-12,-5.057861421353671e-11,-3.900034184489698e-10,3.0259952876754426e-10,2.333295556766757e-09,1.7991661493965694e-08,-6.870725337648764e-05,0.00041636513196863234,0.0032084514386951923,-0.005226221584513177,0.0003050375340380842,0.00328254223914552,2.2420333607442444e-06,5.55149597403215e-07,0.0,3.56268583345809e-06,0.0,4.5732498676898103e-08,-0.00010032767315572549,-0.00010032767315572549,0.0042959553493829815,8
2.0739688011417456e-07,-1.240235974364623e-06,-9.563471394358203e-06,8.465486991959814e-12,-5.062372049335906e-11,-3.9035974452872324e-10,3.027305073288744e-10,2.3343562638444837e-09,1.80002324157158e-08,-6.903905887156725e-05,0.0004183493438176811,0.0032237516716122627,-0.0046473915266613125,0.0020054617081283624,0.003223164830790782,2.1731823380832793e-06,5.321063554220018e-07,0.0,3.964555617130827e-06,0.0,4.8853703304985174e-08,-0.00010105506091728864,-0.00010105506091728864,0.004329496585339429,8
3.101100901403697e-06,-1.853611865954008e-05,-0.0001429352123523131,8.47692402383693e-12,-5.066886840654483e-11,-3.9071640367538407e-10,3.028615414013558e-10,2.3354176370560253e-09,1.8008806890179585e-08,-6.681020022369921e-05,0.00040502683259546757,0.0031210193410515785,-0.0038240706178757702,-0.0018817664203952204,0.0030479237849733425,2.19572871174023e-06,3.183521641858533e-07,0.0,4.068797807121882e-06,0.0,5.4328737064679444e-08,-0.00010178293986831156,-0.00010178293986831156,0.00436304580996176,8
-1.0990023611157085e-06,6.56602242088411e-06,5.0632832426344976e-05,8.48837580086359e-12,-5.0714054483647075e-11,-3.9107334037780106e-10,3.029926309849884e-10,2.336479232312172e-09,1.8017388470070728e-08,-6.723436672473326e-05,0.0004075610195286572,0.003140561282634735,-0.0048752002303071446,-0.0016951504785197233,0.00295817783744734,2.383286073381896e-06,4.024121835755068e-07,0.0,3.744133891814272e-06,0.0,4.578452816872414e-08,-0.0001025113102943202,-0.0001025113102943202,0.004396603025750982,8
1.5362118119810475e-06,-9.173933904094156e-06,-7.074487075442448e-05,8.499841455678059e-12,-5.075927525521884e-11,-3.914305823915498e-10,3.0312377607977226e-10,2.337541715746738e-09,1.802597182631871e-08,-6.501263123936951e-05,0.00039429328171536326,0.0030382471159100533,-0.004675975670379515,-0.002219792058674493,0.003016559132719892,2.2150902623252477e-06,3.661751009076397e-07,0.0,3.867028226522962e-06,0.0,4.853668045257109e-08,-0.00010324017248102783,-0.00010324017248102783,0.004430168235210973,8
-3.8346615838236175e-06,2.2889300453243777e-05,0.00017651489179115742,8.511321855642073e-12,-5.0804534190707074e-11,-3.9178815747220597e-10,3.0325500444128295e-10,2.3386046432705143e-09,1.803456228799405e-08,-6.76750423735939e-05,0.0004101853701286018,0.003160801948979497,-0.0050754883149676175,-0.00047683625766889367,0.0030814255114037974,2.214992946392158e-06,3.3124047149613034e-07,0.0,3.927530087821651e-06,0.0,4.848899592957423e-08,-0.00010396952671431949,-0.00010396952671431949,0.004463741440845119,8
8.463308063255681e-07,-5.0494791139499284e-06,-3.894079782185145e-05,8.522816133393896e-12,-5.084983475955873e-11,-3.921460378641939e-10,3.0338628831394487e-10,2.3396680148835003e-09,1.8043156302383068e-08,-6.660314102191478e-05,0.00040379006532020867,0.0031114821322262287,-0.006012486282550036,-0.003368349580770968,0.0029977607337930367,2.2503613763547037e-06,5.443014856609807e-07,0.0,3.7555369090114255e-06,0.0,4.494530614351788e-08,-0.0001046993732802641,-0.0001046993732802641,0.004497322645159911,8
-2.1690893845516257e-06,1.2935546692460775e-05,9.975910506909713e-05,8.534325156295264e-12,-5.089517002287991e-11,-3.9250419581193796e-10,3.0351762769775803e-10,2.340732052630301e-09,1.8051755645842604e-08,-6.74338371027261e-05,0.0004087439738214016,0.0031496866140514612,-0.00799042455181491,-0.0016418911898499122,0.003176677554719744,2.282380364704295e-06,5.649116587846947e-07,0.0,3.730848447958124e-06,0.0,4.1890967139579516e-08,-0.00010542971246507628,-0.00010542971246507628,0.004530911850660068,8
2.9842121875844896e-06,-1.7788452169043012e-05,-0.0001371877733618021,8.545848924346178e-12,-5.094053998067061e-11,-3.928626868265894e-10,3.0364905034829803e-10,2.3417965344663116e-09,1.806036031837266e-08,-6.554542051162571e-05,0.00039748739800415933,0.0030628740787506104,-0.006170203086588194,-0.0019920936966397714,0.003189915076946904,2.215710082964506e-06,5.166048140381463e-07,0.0,3.562615347618703e-06,0.0,4.1356599922437454e-08,-0.00010616054455519271,-0.00010616054455519271,0.004564509059854403,8
-2.5049141072486236e-07,1.4924611377864494e-06,1.1510383046697825e-05,8.5573865701849e-12,-5.098595157182473e-11,-3.932215109081483e-10,3.0378050075441365e-10,2.342861682436137e-09,1.8068968543616393e-08,-6.65663683321327e-05,0.00040357033140026033,0.0031097878236323595,-0.007773940242375245,-5.507791848795112e-06,0.003698688534972227,2.188261078117648e-06,4.3878867472813e-07,0.0,3.975831077696057e-06,0.0,6.22734361854782e-08,-0.00010689186983720012,-0.00010689186983720012,0.0045981142752516595,8
