noisy_motion_x,noisy_motion_y,noisy_motion_theta,noisy_motion_cov_xx,noisy_motion_cov_xy,noisy_motion_cov_xtheta,noisy_motion_cov_yy,noisy_motion_cov_ytheta,noisy_motion_cov_thetatheta,kalman_prediction_x,kalman_prediction_y,kalman_prediction_theta,lidar_x,lidar_y,lidar_theta,lidar_cov_xx,lidar_cov_xy,lidar_cov_xtheta,lidar_cov_yy,lidar_cov_ytheta,lidar_cov_thetatheta,ground_truth_x,ground_truth_y,ground_truth_theta,alpha,ekf_pos_x,ekf_pos_y,ekf_pos_theta,ukf_pos_x,ukf_pos_y,ukf_pos_theta
-2.1610334442812E-05,9.00310624274425E-06,0.000577463884838,1.29090393929943E-09,-5.37805078248965E-10,-3.44950947805955E-08,2.24055649034049E-10,1.43710430222654E-08,9.217660590366E-07,-0.000255774357356,0.00059511262225,0.008020596578717,0.063093592234346,-0.292313222580839,0.008139058810893,2.21827963287069E-06,6.00514852067136E-07,0,2.74860258286935E-06,0,3.47031132719167E-08,-0.001953743418379,0.005998723149513,0.066764270490438,4,-4.81559976317873E-06,-2.58891132953731E-06,0.067269658765827,-0.001493499769889,-0.014014280102753,0.00282563575583
8.77050479175523E-06,-3.61042816621193E-06,-0.000233970451518,1.31028765615326E-09,-5.39386979525602E-10,-3.49544855282602E-08,2.22041551811714E-10,1.43892027182346E-08,9.32479338189296E-07,-0.000257323496044,0.000595750345383,0.008061923086643,0.064706737345317,-0.300124675330055,0.008217721120989,2.08133337764593E-06,6.14763905559812E-07,0,2.76096170637174E-06,0,3.27834648317094E-08,-0.001962792892162,0.006002448414168,0.067005682911976,4,-5.61720472143666E-06,-3.02477442521161E-06,0.067515195485908,-0.004687525384401,-0.007439577487572,0.003034301860914
8.42254212329863E-06,-3.4258648611285E-06,-0.000224310468184,1.32988031698034E-09,-5.40927969083782E-10,-3.54175782035782E-08,2.20022083885496E-10,1.44060763318521E-08,9.43246391216235E-07,-0.000257424631855,0.000595791439991,0.008064616471529,0.063674478772651,-0.298531916023784,0.008209522719559,2.07542370844749E-06,6.3226525526261E-07,0,2.87217085315206E-06,0,3.1684592727288E-08,-0.001971909773209,0.006006156699569,0.06724848509438,4,-6.48143855820627E-06,-3.49596354215212E-06,0.067762135503924,-0.001857605707424,-0.008703440995827,0.003243988266618
-9.65779981925152E-05,3.88143744203262E-05,0.002567743416876,1.34969435627852E-09,-5.42437650352667E-10,-3.58846641290711E-08,2.18003864960181E-10,1.44219258757516E-08,9.5407449407503E-07,-0.000264206813881,0.000598517188337,0.008244935423136,0.066022109931764,-0.299089502258744,0.008290431521518,2.14238889384433E-06,5.64012111681222E-07,0,3.01993122775457E-06,0,3.19378692381633E-08,-0.001981094320015,0.006009847938085,0.067492676941521,4,-7.41318679921978E-06,-4.00509837960837E-06,0.068011716175251,0.000998854382714,-0.010491633511457,0.003528869507576
-3.11072581098415E-05,1.23523122965707E-05,0.000825656519737,1.3697292189363E-09,-5.43902867189416E-10,-3.63556935667475E-08,2.15977222217667E-10,1.44364040721712E-08,9.64961827776278E-07,-0.000266755669145,0.000599529303145,0.008312587626278,0.06786526683991,-0.300391555543423,0.008432370195308,2.06237973543466E-06,6.46339174181776E-07,0,2.79809887615556E-06,0,3.16593649074548E-08,-0.001990346783175,0.006013521978926,0.067738258114115,4,-8.40339783363483E-06,-4.54747967526393E-06,0.068261465619139,-0.000405080896907,-0.007036001764792,0.003779511369308
-1.41075076953712E-07,5.53479857501316E-08,3.73807370124268E-06,1.3899724704558E-09,-5.45330502976782E-10,-3.68303076925258E-08,2.13950551719577E-10,1.44497036558278E-08,9.75898160504585E-07,-0.00026418257039,0.000598519807681,0.008244408294559,0.067519299957257,-0.298495550570675,0.008379689095039,2.12431473300967E-06,5.81200367832935E-07,0,3.19781361213245E-06,0,3.60026071177799E-08,-0.001999667366714,0.006017178741061,0.067985227001951,4,-9.45666612606477E-06,-5.12592400844592E-06,0.068512614673688,-0.006240701814665,-0.014513865048907,0.004030323105428
-1.27310313473572E-05,4.93485822516959E-06,0.000336760655046,1.41043920987016E-09,-5.46720613225915E-10,-3.7308872435915E-08,2.11922229764738E-10,1.44618281794351E-08,9.86892587206967E-07,-0.000258866260992,0.000596459081862,0.008103781379759,0.063588177010026,-0.302880293108324,0.008225893295233,1.98857424038579E-06,5.63695095934236E-07,0,3.2034186006058E-06,0,3.5804109899118E-08,-0.002009056320203,0.006020818128332,0.06823358316907,4,-1.05731042530156E-05,-5.7404928154861E-06,0.06876516142746,-0.007802621554162,-0.013779253665405,0.00426996014563
-3.94108283217065E-05,1.50929054143489E-05,0.001040708622895,1.43111811290453E-09,-5.48065870464853E-10,-3.77910609472565E-08,2.09889175484257E-10,1.44725929018819E-08,9.97935899249569E-07,-0.000256957078818,0.000595727935433,0.008053366094828,0.061256027981575,-0.303888505715606,0.008150263558853,2.19615185415023E-06,5.71791929360188E-07,0,3.27998100146942E-06,0,3.93727539460542E-08,-0.002018513850824,0.006024440016444,0.068483325028684,4,-1.16926766922233E-05,-6.35829163824582E-06,0.06900643771842,0.001347624008965,-0.01057782584121,0.004523513408963
-6.98550820743549E-06,2.64298637375759E-06,0.000184146978427,1.4520092905812E-09,-5.49371770297569E-10,-3.82768341466999E-08,2.07856357126168E-10,1.4482147925321E-08,1.00902673239034E-06,-0.000269951298833,0.000600644329097,0.008395911194384,0.066567845477027,-0.302004417282016,0.008559134224432,2.11189535548328E-06,6.55622272915934E-07,0,3.27599627780728E-06,0,3.97385022665731E-08,-0.002028040160684,0.006028044322471,0.068734450830735,4,-1.29327131608299E-05,-7.04432629215491E-06,0.069261705951369,-0.000566674720382,-0.013670051449822,0.0047784696143
-1.19122232717928E-05,4.45265186499455E-06,0.000313479918987,1.47312384513043E-09,-5.50636591878373E-10,-3.87664655931985E-08,2.05821568122211E-10,1.4490454169902E-08,1.02017133940535E-06,-0.000271636323305,0.000601274194196,0.008440254256129,0.067071751278538,-0.303442897016418,0.008581486293405,2.1303060293576E-06,7.19014337846602E-07,0,3.65039068128681E-06,0,4.00163067126869E-08,-0.002037635484605,0.006031630943202,0.068986959658181,4,-1.42362449528505E-05,-7.76730655450254E-06,0.069518365464003,0.001450335431194,-0.010851661694647,0.005074489121114
3.19954779115505E-05,-1.18150119305938E-05,-0.000840529799461,1.49444612240757E-09,-5.51856060848621E-10,-3.92595005394014E-08,2.03784614183355E-10,1.4497405942393E-08,1.03135755580297E-06,-0.000273441022728,0.000601940613706,0.00848766323179,0.06811534920193,-0.302175565793839,0.008665542493479,2.24247696678503E-06,6.5205426835746E-07,0,3.86079227610026E-06,0,4.20507042520057E-08,-0.002047300001331,0.006035199771861,0.0692408490931,4,-1.56033366031853E-05,-8.52746825789906E-06,0.069776412605094,-0.001043237669669,-0.014065146543149,0.00529258210981
-9.95891969068907E-05,3.63305407518055E-05,0.002611689968035,1.51597201458742E-09,-5.53032675210119E-10,-3.97558039821888E-08,2.01748534545132E-10,1.45030760734244E-08,1.0425811751702E-06,-0.000288075825665,0.000607279420365,0.008871456608176,0.067462086206635,-0.303914429101613,0.008962325890001,2.23673964683257E-06,1.00917645795562E-06,0,3.75305876332277E-06,0,4.16874250674937E-08,-0.002057033872677,0.006038750727199,0.069496116252039,4,-1.70340438515245E-05,-9.32508285365742E-06,0.070035843408265,-0.001516321000189,-0.034704710681581,0.005512963811897
-7.63743810239248E-05,2.75243819487514E-05,0.00199939776212,1.53769463828723E-09,-5.5416615740711E-10,-4.02551663114537E-08,1.99714633719594E-10,1.45074645629961E-08,1.05383628579148E-06,-0.000269040494459,0.00060041929828,0.008373131975532,0.067293065215909,-0.32160658799021,0.008460276515656,2.255671461171E-06,9.36153867314715E-07,0,3.50799359694065E-06,0,4.15047836099802E-08,-0.002066837235201,0.006042283737879,0.069752757573991,4,-1.85284089601893E-05,-1.0160435206366E-05,0.070296653744599,0.002349693705071,-0.022150061375328,0.005760310683623
