noisy motion,kalman prediction,ground truth,motion noise stdev,laser noise stdev,laser range 1,laser range 2,laser range 3,laser range 4,laser range 5,laser range 6
5.86413123587332,4.09587563023535,4.33724942586379,2,0.01,5.91192770004272,5.89576768875122,5.91127109527588,5.89575958251953,5.90949296951294,5.90378713607788
5.56995955051238,4.82121020583786,4.70913324029011,2,0.01,5.21310710906982,5.19788074493408,5.21210765838623,5.1737174987793,5.18962717056274,5.18165254592896
8.58084492771246,5.19770993334863,5.76200464818098,2,0.01,4.83174896240234,4.84032344818115,4.82883501052856,4.81539678573608,4.82994699478149,4.82219982147217
9.58766289877405,6.2549227181064,6.05319405041649,2,0.01,3.76905393600464,3.78564190864563,3.77163171768188,3.77176070213318,3.76758933067322,3.74482655525208
9.66872915011523,6.52939511749782,6.17720326398959,2,0.01,3.49180245399475,3.47836756706238,3.48475813865662,3.48169374465942,3.48174405097961,3.46964263916016
9.68125332684,6.6569990042115,6.1902507835972,2,0.01,3.34468579292297,3.35175728797913,3.36957144737244,3.34242844581604,3.35647797584534,3.37033867835999
8.35804212880546,6.66449812386015,7.16282901053246,2,0.01,3.32888126373291,3.34656834602356,3.35749173164368,3.35292291641235,3.35006880760193,3.36124181747437
5.51914682166549,7.63424027052727,8.01754774923373,2,0.01,2.38384604454041,2.37705969810486,2.37843227386475,2.38139724731445,2.37526202201843,2.34681081771851
8.11122229950032,8.50952908651234,8.59564324674488,2,0.01,1.51908731460571,1.51834952831268,1.49901235103607,1.50356793403626,1.51370024681091,1.50095272064209
7.84466580665475,9.07796908506039,8.4225882841745,2,0.01,0.931599318981171,0.956606566905975,0.940720438957214,0.917876601219177,0.920940279960632,0.932929456233978
11.602745185605,8.91942724442125,9.08430354651899,2,0.01,1.1000589132309,1.12188243865967,1.11334478855133,1.10692894458771,1.11192739009857,1.12969708442688
11.0396563538123,9.55412046214615,0.0,2,0.01,0.445737600326538,0.453839927911758,0.460862427949905,0.439920276403427,0.462103635072708,0.446524977684021
